REF_DATE,GEO,DGUID,NAICS,Enterprises characteristics,country_control,Size of enterprise,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,"Total enterprises, all sizes",Dollars,81,thousands,3,v41596487,1.1.2.2.1,87701,,,,0
2000,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Small enterprises,Dollars,81,thousands,3,v41596488,1.1.2.2.2,4584,,,,0
2000,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Medium enterprises,Dollars,81,thousands,3,v41596489,1.1.2.2.3,43764,,,,0
2000,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Large enterprises,Dollars,81,thousands,3,v41596490,1.1.2.2.4,579809,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,"Total enterprises, all sizes",Number,223,units,0,v41596475,1.1.1.1.1,1126560,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Small enterprises,Number,223,units,0,v41596476,1.1.1.1.2,1120542,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Medium enterprises,Number,223,units,0,v41596477,1.1.1.1.3,4547,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Large enterprises,Number,223,units,0,v41596478,1.1.1.1.4,1471,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,"Total enterprises, all sizes",Number,223,units,0,v41596479,1.1.1.2.1,7310,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Small enterprises,Number,223,units,0,v41596480,1.1.1.2.2,5133,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Medium enterprises,Number,223,units,0,v41596481,1.1.1.2.3,1068,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Large enterprises,Number,223,units,0,v41596482,1.1.1.2.4,1109,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,"Total enterprises, all sizes",Dollars,81,thousands,3,v41596483,1.1.2.1.1,1500,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Small enterprises,Dollars,81,thousands,3,v41596484,1.1.2.1.2,669,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Medium enterprises,Dollars,81,thousands,3,v41596485,1.1.2.1.3,40254,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Large enterprises,Dollars,81,thousands,3,v41596486,1.1.2.1.4,514247,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,"Total enterprises, all sizes",Dollars,81,thousands,3,v41596487,1.1.2.2.1,97686,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Small enterprises,Dollars,81,thousands,3,v41596488,1.1.2.2.2,4945,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Medium enterprises,Dollars,81,thousands,3,v41596489,1.1.2.2.3,43555,,,,0
2001,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Large enterprises,Dollars,81,thousands,3,v41596490,1.1.2.2.4,579066,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,"Total enterprises, all sizes",Number,223,units,0,v41596475,1.1.1.1.1,1148515,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Small enterprises,Number,223,units,0,v41596476,1.1.1.1.2,1142129,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Medium enterprises,Number,223,units,0,v41596477,1.1.1.1.3,4812,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Large enterprises,Number,223,units,0,v41596478,1.1.1.1.4,1574,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,"Total enterprises, all sizes",Number,223,units,0,v41596479,1.1.1.2.1,7106,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Small enterprises,Number,223,units,0,v41596480,1.1.1.2.2,4995,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Medium enterprises,Number,223,units,0,v41596481,1.1.1.2.3,1023,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Large enterprises,Number,223,units,0,v41596482,1.1.1.2.4,1088,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,"Total enterprises, all sizes",Dollars,81,thousands,3,v41596483,1.1.2.1.1,1513,,,,0
